date | value
2011-01-03 | 3
2011-01-03 | 2
2011-01-03 | 1
2011-01-03 | 1.2
2011-01-09 | 1
2012-01-11 | -1
2001-42-42

2012-01-11 | 1
2012-01-11 | 2147483648
2025-01-15 | 1
dsjbbj | dkj
2012-03-04 | 2jdsh

2011-02-29 | 1
2012-02-29       |      1
2025-12-03 | 1
1970-09-15 | 1
1960-02-09 | 1
2020-12-03jhjsdsdgv | 1
2020jhdkashkd-12-03 | 1
asdsdassasd|sadasd

2021-02-03 | 0.0
2021-02-03 | 0.1
2021-02-03 | -0.0
2021-02-03 | -0.1
2021-02-03 | -4
2021-02-03 | -2147483652
2021-02-03 | 4
2021-02-03 | 4.1
2021-02-03 | 4.1234323435
2024-02-03 | 4.12f
2021-02-03 | 1000
2021-02-03 | 1000.0
2021-02-03 | 1000.0001
2021-02-03 | 1000.00000000000000000000000000000000000000001
2021-02-03 | 1000.1234323435
2021-02-03 | 2147483647
2021-02-03 | 2147483648
2021-02-03 | 4294969309
2021-02-03 | 92233720368547758012
2021-02-03 | 18446744073709551619
2021-02-03 | 0x1000007dd
2021-02-03 | 0xff
2021-02-03 | 0XFF
2021-02-03 | 0xFF
2021-02-03 | 0x3e7
2021-02-03 | 0x3e8
2021-02-03 | 0x3e9
2021-02-03 | 01747
2021-02-03 | 01751
2021-02-03 | 0013
